AstarPath.AstarDistribution	astarpath.html#AstarDistribution	Information about where the package was downloaded.
Pathfinding.RVO.RVOSquareObstacle.LocalCoordinates	rvosquareobstacle.html#LocalCoordinates	If enabled, all coordinates are handled as local.
Pathfinding.RVO.RVOSquareObstacle.StaticObstacle	rvosquareobstacle.html#StaticObstacle	Static or dynamic. \n\nThis determines if the obstacle can be updated by e.g moving the transform around in the scene.
Pathfinding.RVO.RVOSquareObstacle.center	rvosquareobstacle.html#center	Center of the square.
Pathfinding.RVO.RVOSquareObstacle.height	rvosquareobstacle.html#height	Height of the obstacle.
Pathfinding.RVO.RVOSquareObstacle.size	rvosquareobstacle.html#size	Size of the square.
Pathfinding.RVO.ReachedEndOfPath	rvo.html#ReachedEndOfPath	Indicates if the agent has reached the end of its path, or been blocked by other agents. \n\nIn the video below, the agents will get a red ring around them for the Reached state, and a brown ring for the ReachedSoon state.\n\n <b>[video in online documentation]</b>\n\n[more in online documentation]
Pathfinding.RVO.SimulatorBurst.Agent.AgentIndex	agent.html#AgentIndex	Internal index of the agent. \n\n[more in online documentation]
Pathfinding.RVO.SimulatorBurst.Agent.AgentTimeHorizon	agent.html#AgentTimeHorizon	Max number of estimated seconds to look into the future for collisions with agents. \n\nAs it turns out, this variable is also very good for controling agent avoidance priorities. Agents with lower values will avoid other agents less and thus you can make 'high priority agents' by giving them a lower value.
Pathfinding.RVO.SimulatorBurst.Agent.AvoidingAnyAgents	agent.html#AvoidingAnyAgents	True if the agent's movement is affected by any other agents or obstacles. \n\nIf the agent is all alone, and can just move in a straight line to its target, this will be false. If it has to adjust its velocity, even slightly, to avoid collisions, this will be true.
Pathfinding.RVO.SimulatorBurst.Agent.CalculatedEffectivelyReachedDestination	agent.html#CalculatedEffectivelyReachedDestination	
Pathfinding.RVO.SimulatorBurst.Agent.CalculatedSpeed	agent.html#CalculatedSpeed	Optimal speed of the agent to avoid collisions. \n\nThe movement script should move towards CalculatedTargetPoint with this speed.
Pathfinding.RVO.SimulatorBurst.Agent.CalculatedTargetPoint	agent.html#CalculatedTargetPoint	Optimal point to move towards to avoid collisions. \n\nThe movement script should move towards this point with a speed of CalculatedSpeed.\n\n[more in online documentation]
Pathfinding.RVO.SimulatorBurst.Agent.CollidesWith	agent.html#CollidesWith	Layer mask specifying which layers this agent will avoid. \n\nYou can set it as CollidesWith = RVOLayer.DefaultAgent | RVOLayer.Layer3 | RVOLayer.Layer6 ...\n\n[more in online documentation]
Pathfinding.RVO.SimulatorBurst.Agent.DebugFlags	agent.html#DebugFlags	Draw debug information in the scene view.
Pathfinding.RVO.SimulatorBurst.Agent.DestroyedCallback	agent.html#DestroyedCallback	Callback which will be called right the agent is removed from the simulation. \n\nThis agent should not be used anymore after this callback has been called.
Pathfinding.RVO.SimulatorBurst.Agent.FlowFollowingStrength	agent.html#FlowFollowingStrength	Determines how strongly this agent just follows the flow instead of making other agents avoid it. \n\nThe default value is 0, if it is greater than zero (up to the maximum value of 1) other agents will not avoid this character as much. However it works in a different way to Priority.\n\nA group of agents with FlowFollowingStrength set to a high value that all try to reach the same point will end up just settling to stationary positions around that point, none will push the others away to any significant extent. This is tricky to achieve with priorities as priorities are all relative, so setting all agents to a low priority is the same thing as not changing priorities at all.\n\nShould be a value in the range [0, 1].
Pathfinding.RVO.SimulatorBurst.Agent.Height	agent.html#Height	Height of the agent in world units. \n\nAgents are modelled as circles/cylinders.
Pathfinding.RVO.SimulatorBurst.Agent.HierarchicalNodeIndex	agent.html#HierarchicalNodeIndex	
Pathfinding.RVO.SimulatorBurst.Agent.Layer	agent.html#Layer	Specifies the avoidance layer for this agent. \n\nThe CollidesWith mask on other agents will determine if they will avoid this agent.
Pathfinding.RVO.SimulatorBurst.Agent.Locked	agent.html#Locked	Locked agents will be assumed not to move.
Pathfinding.RVO.SimulatorBurst.Agent.MaxNeighbours	agent.html#MaxNeighbours	Max number of agents to take into account. \n\nDecreasing this value can lead to better performance, increasing it can lead to better quality of the simulation.
Pathfinding.RVO.SimulatorBurst.Agent.MovementPlane	agent.html#MovementPlane	Plane in which the agent moves. \n\nLocal avoidance calculations are always done in 2D and this plane determines how to convert from 3D to 2D.\n\nIn a typical 3D game the agents move in the XZ plane and in a 2D game they move in the XY plane. By default this is set to the XZ plane.\n\n[more in online documentation]
Pathfinding.RVO.SimulatorBurst.Agent.NeighbourCount	agent.html#NeighbourCount	Number of neighbours that the agent took into account during the last simulation step.
Pathfinding.RVO.SimulatorBurst.Agent.ObstacleTimeHorizon	agent.html#ObstacleTimeHorizon	Max number of estimated seconds to look into the future for collisions with obstacles.
Pathfinding.RVO.SimulatorBurst.Agent.Position	agent.html#Position	Position of the agent. \n\nThe agent does not move by itself, a movement script has to be responsible for reading the CalculatedTargetPoint and CalculatedSpeed properties and move towards that point with that speed. This property should ideally be set every frame.
Pathfinding.RVO.SimulatorBurst.Agent.PreCalculationCallback	agent.html#PreCalculationCallback	Callback which will be called right before avoidance calculations are started. \n\nUsed to update the other properties with the most up to date values
Pathfinding.RVO.SimulatorBurst.Agent.Priority	agent.html#Priority	How strongly other agents will avoid this agent. \n\nUsually a value between 0 and 1. Agents with similar priorities will avoid each other with an equal strength. If an agent sees another agent with a higher priority than itself it will avoid that agent more strongly. In the extreme case (e.g this agent has a priority of 0 and the other agent has a priority of 1) it will treat the other agent as being a moving obstacle. Similarly if an agent sees another agent with a lower priority than itself it will avoid that agent less.\n\nIn general the avoidance strength for this agent is: <b>[code in online documentation]</b>
Pathfinding.RVO.SimulatorBurst.Agent.Radius	agent.html#Radius	Radius of the agent in world units. \n\nAgents are modelled as circles/cylinders.
Pathfinding.RVO.SimulatorBurst.Agent.agentIndex	agent.html#agentIndex	
Pathfinding.RVO.SimulatorBurst.Agent.simulator	agent.html#simulator	
Pathfinding.RVO.SimulatorBurst.AgentBounds	simulatorburst.html#AgentBounds	
Pathfinding.RVO.SimulatorBurst.AgentCount	simulatorburst.html#AgentCount	Number of agents in the simulation.
Pathfinding.RVO.SimulatorBurst.AgentData.agentObstacleMapping	agentdata.html#agentObstacleMapping	Which obstacle data in the ObstacleData.obstacles array the agent should use for avoidance.
Pathfinding.RVO.SimulatorBurst.AgentData.agentTimeHorizon	agentdata.html#agentTimeHorizon	
Pathfinding.RVO.SimulatorBurst.AgentData.allowedVelocityDeviationAngles	agentdata.html#allowedVelocityDeviationAngles	x = signed left angle in radians, y = signed right angle in radians (should be greater than x)
Pathfinding.RVO.SimulatorBurst.AgentData.collidesWith	agentdata.html#collidesWith	
Pathfinding.RVO.SimulatorBurst.AgentData.collisionNormal	agentdata.html#collisionNormal	
Pathfinding.RVO.SimulatorBurst.AgentData.debugFlags	agentdata.html#debugFlags	
Pathfinding.RVO.SimulatorBurst.AgentData.desiredSpeed	agentdata.html#desiredSpeed	
Pathfinding.RVO.SimulatorBurst.AgentData.endOfPath	agentdata.html#endOfPath	
Pathfinding.RVO.SimulatorBurst.AgentData.flowFollowingStrength	agentdata.html#flowFollowingStrength	
Pathfinding.RVO.SimulatorBurst.AgentData.height	agentdata.html#height	
Pathfinding.RVO.SimulatorBurst.AgentData.hierarchicalNodeIndex	agentdata.html#hierarchicalNodeIndex	
Pathfinding.RVO.SimulatorBurst.AgentData.layer	agentdata.html#layer	
Pathfinding.RVO.SimulatorBurst.AgentData.locked	agentdata.html#locked	
Pathfinding.RVO.SimulatorBurst.AgentData.manuallyControlled	agentdata.html#manuallyControlled	
Pathfinding.RVO.SimulatorBurst.AgentData.maxNeighbours	agentdata.html#maxNeighbours	
Pathfinding.RVO.SimulatorBurst.AgentData.maxSpeed	agentdata.html#maxSpeed	
Pathfinding.RVO.SimulatorBurst.AgentData.movementPlane	agentdata.html#movementPlane	
Pathfinding.RVO.SimulatorBurst.AgentData.obstacleTimeHorizon	agentdata.html#obstacleTimeHorizon	
Pathfinding.RVO.SimulatorBurst.AgentData.position	agentdata.html#position	
Pathfinding.RVO.SimulatorBurst.AgentData.priority	agentdata.html#priority	
Pathfinding.RVO.SimulatorBurst.AgentData.radius	agentdata.html#radius	
Pathfinding.RVO.SimulatorBurst.AgentData.targetPoint	agentdata.html#targetPoint	
Pathfinding.RVO.SimulatorBurst.AgentData.version	agentdata.html#version	
Pathfinding.RVO.SimulatorBurst.AgentNeighbourLookup.neighbours	agentneighbourlookup.html#neighbours	
Pathfinding.RVO.SimulatorBurst.AgentOutputData.blockedByAgents	agentoutputdata.html#blockedByAgents	
Pathfinding.RVO.SimulatorBurst.AgentOutputData.effectivelyReachedDestination	agentoutputdata.html#effectivelyReachedDestination	
Pathfinding.RVO.SimulatorBurst.AgentOutputData.forwardClearance	agentoutputdata.html#forwardClearance	
Pathfinding.RVO.SimulatorBurst.AgentOutputData.numNeighbours	agentoutputdata.html#numNeighbours	
Pathfinding.RVO.SimulatorBurst.AgentOutputData.speed	agentoutputdata.html#speed	
Pathfinding.RVO.SimulatorBurst.AgentOutputData.targetPoint	agentoutputdata.html#targetPoint	
Pathfinding.RVO.SimulatorBurst.DesiredDeltaTime	simulatorburst.html#DesiredDeltaTime	Time in seconds between each simulation step. \n\nThis is the desired delta time, the simulation will never run at a higher fps than the rate at which the Update function is called.
Pathfinding.RVO.SimulatorBurst.HardCollisions	simulatorburst.html#HardCollisions	Use hard collisions.
Pathfinding.RVO.SimulatorBurst.HorizonAgentData.horizonMaxAngle	horizonagentdata.html#horizonMaxAngle	
Pathfinding.RVO.SimulatorBurst.HorizonAgentData.horizonMinAngle	horizonagentdata.html#horizonMinAngle	
Pathfinding.RVO.SimulatorBurst.HorizonAgentData.horizonSide	horizonagentdata.html#horizonSide	
Pathfinding.RVO.SimulatorBurst.MaxBlockingAgentCount	simulatorburst.html#MaxBlockingAgentCount	
Pathfinding.RVO.SimulatorBurst.MaxNeighbourCount	simulatorburst.html#MaxNeighbourCount	
Pathfinding.RVO.SimulatorBurst.MaxObstacleVertices	simulatorburst.html#MaxObstacleVertices	
Pathfinding.RVO.SimulatorBurst.MovementPlane	simulatorburst.html#MovementPlane	
Pathfinding.RVO.SimulatorBurst.ObstacleData.obstacleVertexGroups	obstacledata.html#obstacleVertexGroups	Groups of vertices representing obstacles. \n\nAn obstacle is either a cycle or a chain of vertices
Pathfinding.RVO.SimulatorBurst.ObstacleData.obstacleVertices	obstacledata.html#obstacleVertices	Vertices of all obstacles.
Pathfinding.RVO.SimulatorBurst.ObstacleData.obstacles	obstacledata.html#obstacles	Obstacle sets, each one is represented as a set of obstacle vertex groups.
Pathfinding.RVO.SimulatorBurst.SymmetryBreakingBias	simulatorburst.html#SymmetryBreakingBias	Bias agents to pass each other on the right side. \n\nIf the desired velocity of an agent puts it on a collision course with another agent or an obstacle its desired velocity will be rotated this number of radians (1 radian is approximately 57°) to the right. This helps to break up symmetries and makes it possible to resolve some situations much faster.\n\nWhen many agents have the same goal this can however have the side effect that the group clustered around the target point may as a whole start to spin around the target point.\n\nRecommended values are in the range of 0 to 0.2.\n\nIf this value is negative, the agents will be biased towards passing each other on the left side instead.
Pathfinding.RVO.SimulatorBurst.TemporaryAgentData.collisionVelocityOffsets	temporaryagentdata.html#collisionVelocityOffsets	
Pathfinding.RVO.SimulatorBurst.TemporaryAgentData.currentVelocity	temporaryagentdata.html#currentVelocity	
Pathfinding.RVO.SimulatorBurst.TemporaryAgentData.desiredTargetPointInVelocitySpace	temporaryagentdata.html#desiredTargetPointInVelocitySpace	
Pathfinding.RVO.SimulatorBurst.TemporaryAgentData.desiredVelocity	temporaryagentdata.html#desiredVelocity	
Pathfinding.RVO.SimulatorBurst.TemporaryAgentData.neighbours	temporaryagentdata.html#neighbours	
Pathfinding.RVO.SimulatorBurst.UseNavmeshAsObstacle	simulatorburst.html#UseNavmeshAsObstacle	
Pathfinding.RVO.SimulatorBurst.agentDestroyCallbacks	simulatorburst.html#agentDestroyCallbacks	
Pathfinding.RVO.SimulatorBurst.agentPreCalculationCallbacks	simulatorburst.html#agentPreCalculationCallbacks	
Pathfinding.RVO.SimulatorBurst.anyAgentsInSimulation	simulatorburst.html#anyAgentsInSimulation	
Pathfinding.RVO.SimulatorBurst.debugDrawingScope	simulatorburst.html#debugDrawingScope	Scope for drawing gizmos even on frames during which the simulation is not running. \n\nThis is used to draw the obstacles, quadtree and agent debug lines.
Pathfinding.RVO.SimulatorBurst.desiredDeltaTime	simulatorburst.html#desiredDeltaTime	Inverse desired simulation fps. \n\n[more in online documentation]
Pathfinding.RVO.SimulatorBurst.drawQuadtree	simulatorburst.html#drawQuadtree	
Pathfinding.RVO.SimulatorBurst.freeAgentIndices	simulatorburst.html#freeAgentIndices	
Pathfinding.RVO.SimulatorBurst.horizonAgentData	simulatorburst.html#horizonAgentData	
Pathfinding.RVO.SimulatorBurst.movementPlane	simulatorburst.html#movementPlane	Determines if the XY (2D) or XZ (3D) plane is used for movement.
Pathfinding.RVO.SimulatorBurst.numAgents	simulatorburst.html#numAgents	Number of agents in this simulation.
Pathfinding.RVO.SimulatorBurst.outputData	simulatorburst.html#outputData	Internal simulation data. \n\nCan be used if you need very high performance access to the agent data. Normally you would use the SimulatorBurst.Agent class instead (implements the IAgent interface).\n\n[more in online documentation]
Pathfinding.RVO.SimulatorBurst.quadtree	simulatorburst.html#quadtree	Quadtree for this simulation. \n\nUsed internally by the simulation to perform fast neighbour lookups for each agent. Please only read from this tree, do not rebuild it since that can interfere with the simulation. It is rebuilt when necessary.\n\n[more in online documentation]
Pathfinding.RVO.SimulatorBurst.rwLock	simulatorburst.html#rwLock	Used to synchronize access to the simulation data.
Pathfinding.RVO.SimulatorBurst.simulationData	simulatorburst.html#simulationData	Internal simulation data. \n\nCan be used if you need very high performance access to the agent data. Normally you would use the SimulatorBurst.Agent class instead (implements the IAgent interface).\n\n[more in online documentation]
Pathfinding.RVO.SimulatorBurst.temporaryAgentData	simulatorburst.html#temporaryAgentData	
Pathfinding.RVO.UnmanagedObstacle.groupsAllocation	unmanagedobstacle.html#groupsAllocation	The allocation in ObstacleData.obstacles which represents the obstacle groups.
Pathfinding.RVO.UnmanagedObstacle.verticesAllocation	unmanagedobstacle.html#verticesAllocation	The allocation in ObstacleData.obstacleVertices which represents all vertices used for these obstacles.
Pathfinding.RVO.XYMovementPlane.matrix	xymovementplane.html#matrix	Maps from 2D (X, Y, 0) coordinates to world coordinates.
Pathfinding.RVO.XZMovementPlane.matrix	xzmovementplane.html#matrix	Maps from 2D (X, Y, 0) coordinates to world coordinates.
Pathfinding.RVOSimulatorEditor.movementPlaneOptions	rvosimulatoreditor.html#movementPlaneOptions	
Pathfinding.RadiusModifier.Order	radiusmodifier.html#Order	Modifiers will be executed from lower order to higher order. \n\nThis value is assumed to stay constant.
Pathfinding.RadiusModifier.TangentType	radiusmodifier.html#TangentType	
Pathfinding.RadiusModifier.a1	radiusmodifier.html#a1	
Pathfinding.RadiusModifier.a2	radiusmodifier.html#a2	
Pathfinding.RadiusModifier.detail	radiusmodifier.html#detail	Detail of generated circle segments. \n\nMeasured as steps per full circle.\n\nIt is more performant to use a low value. For movement, using a high value will barely improve path quality.
Pathfinding.RadiusModifier.dir	radiusmodifier.html#dir	
Pathfinding.RadiusModifier.radi	radiusmodifier.html#radi	
Pathfinding.RadiusModifier.radius	radiusmodifier.html#radius	Radius of the circle segments generated. \n\nUsually similar to the character radius.
Pathfinding.RandomPath.aim	randompath.html#aim	An aim can be used to guide the pathfinder to not take totally random paths. \n\nFor example you might want your AI to continue in generally the same direction as before, then you can specify aim to be transform.postion + transform.forward*10 which will make it more often take paths nearer that point \n\n[more in online documentation]
Pathfinding.RandomPath.aimStrength	randompath.html#aimStrength	If an aim is set, the higher this value is, the more it will try to reach aim. \n\nRecommended values are between 0 and 10.
Pathfinding.RandomPath.chosenPathNodeGScore	randompath.html#chosenPathNodeGScore	
Pathfinding.RandomPath.chosenPathNodeIndex	randompath.html#chosenPathNodeIndex	Currently chosen end node.
Pathfinding.RandomPath.endPointKnownBeforeCalculation	randompath.html#endPointKnownBeforeCalculation	True if this path type has a well defined end point, even before calculation starts. \n\nThis is for example true for the ABPath type, but false for the RandomPath type.
Pathfinding.RandomPath.hasEndPoint	randompath.html#hasEndPoint	Determines if a search for an end node should be done. \n\nSet by different path types. \n\n[more in online documentation]
Pathfinding.RandomPath.maxGScore	randompath.html#maxGScore	The G score of maxGScorePathNodeIndex.
Pathfinding.RandomPath.maxGScorePathNodeIndex	randompath.html#maxGScorePathNodeIndex	The node with the highest G score which is still lower than searchLength. \n\nUsed as a backup if a node with a G score higher than searchLength could not be found
Pathfinding.RandomPath.nodesEvaluatedRep	randompath.html#nodesEvaluatedRep	
Pathfinding.RandomPath.rnd	randompath.html#rnd	Random number generator.
Pathfinding.RandomPath.searchLength	randompath.html#searchLength	G score to stop searching at. \n\nThe G score is rougly the distance to get from the start node to a node multiplied by 1000 (per default, see Pathfinding.Int3.Precision), plus any penalties.\n\n <b>[video in online documentation]</b>
Pathfinding.RandomPath.spread	randompath.html#spread	All G scores between searchLength and searchLength+spread are valid end points, a random one of them is chosen as the final point. \n\nOn grid graphs a low spread usually works (but keep it higher than nodeSize*1000 since that it the default cost of moving between two nodes), on NavMesh graphs I would recommend a higher spread so it can evaluate more nodes.\n\n <b>[video in online documentation]</b>
Pathfinding.RaycastModifier.DPCosts	raycastmodifier.html#DPCosts	
Pathfinding.RaycastModifier.DPParents	raycastmodifier.html#DPParents	
Pathfinding.RaycastModifier.Filter.cachedDelegate	filter.html#cachedDelegate	
Pathfinding.RaycastModifier.Filter.path	filter.html#path	
Pathfinding.RaycastModifier.Order	raycastmodifier.html#Order	Modifiers will be executed from lower order to higher order. \n\nThis value is assumed to stay constant.
Pathfinding.RaycastModifier.Quality	raycastmodifier.html#Quality	
Pathfinding.RaycastModifier.buffer	raycastmodifier.html#buffer	
Pathfinding.RaycastModifier.cachedFilter	raycastmodifier.html#cachedFilter	
Pathfinding.RaycastModifier.cachedNNConstraint	raycastmodifier.html#cachedNNConstraint	
Pathfinding.RaycastModifier.iterationsByQuality	raycastmodifier.html#iterationsByQuality	
Pathfinding.RaycastModifier.mask	raycastmodifier.html#mask	Layer mask used for physics raycasting. \n\nAll objects with layers that are included in this mask will be treated as obstacles. If you are using a grid graph you usually want this to be the same as the mask in the grid graph's 'Collision Testing' settings.
Pathfinding.RaycastModifier.quality	raycastmodifier.html#quality	Higher quality modes will try harder to find a shorter path. \n\nHigher qualities may be significantly slower than low quality.  <b>[image in online documentation]</b>
Pathfinding.RaycastModifier.raycastOffset	raycastmodifier.html#raycastOffset	Offset from the original positions to perform the raycast. \n\nCan be useful to avoid the raycast intersecting the ground or similar things you do not want to it intersect
Pathfinding.RaycastModifier.thickRaycast	raycastmodifier.html#thickRaycast	Checks around the line between two points, not just the exact line. \n\nMake sure the ground is either too far below or is not inside the mask since otherwise the raycast might always hit the ground.\n\n[more in online documentation]
Pathfinding.RaycastModifier.thickRaycastRadius	raycastmodifier.html#thickRaycastRadius	Distance from the ray which will be checked for colliders.
Pathfinding.RaycastModifier.use2DPhysics	raycastmodifier.html#use2DPhysics	Check for intersections with 2D colliders instead of 3D colliders. \n\nUseful for 2D games.\n\n[more in online documentation]
Pathfinding.RaycastModifier.useGraphRaycasting	raycastmodifier.html#useGraphRaycasting	Use raycasting on the graphs. \n\nOnly currently works with GridGraph and NavmeshGraph and RecastGraph.  [more in online documentation]
Pathfinding.RaycastModifier.useRaycasting	raycastmodifier.html#useRaycasting	Use Physics.Raycast to simplify the path.
Pathfinding.RecastGraph.BackgroundTraversability	recastgraph.html#BackgroundTraversability	Whether the base of the graph should default to being walkable or unwalkable. \n\n[more in online documentation]
Pathfinding.RecastGraph.CharacterRadiusInVoxels	recastgraph.html#CharacterRadiusInVoxels	Convert character radius to a number of voxels.
Pathfinding.RecastGraph.CollectionSettings.FilterMode	collectionsettings.html#FilterMode	Determines how the initial filtering of objects is done.
Pathfinding.RecastGraph.CollectionSettings.collectionMode	collectionsettings.html#collectionMode	Determines how the initial filtering of objects is done. \n\n[more in online documentation]
Pathfinding.RecastGraph.CollectionSettings.colliderRasterizeDetail	collectionsettings.html#colliderRasterizeDetail	Controls detail on rasterization of sphere and capsule colliders. \n\nThe colliders will be approximated with polygons so that the max distance to the theoretical surface is less than 1/(this number of voxels).\n\nA higher value does not necessarily increase quality of the mesh, but a lower value will often speed it up.\n\nYou should try to keep this value as low as possible without affecting the mesh quality since that will yield the fastest scan times.\n\nThe default value is 1, which corresponds to a maximum error of 1 voxel. In most cases, increasing this to a value higher than 2 (corresponding to a maximum error of 0.5 voxels) is not useful.\n\n[more in online documentation]
Pathfinding.RecastGraph.CollectionSettings.layerMask	collectionsettings.html#layerMask	Objects in all of these layers will be rasterized. \n\nWill only be used if collectionMode is set to Layers.\n\n[more in online documentation]
Pathfinding.RecastGraph.CollectionSettings.onCollectMeshes	collectionsettings.html#onCollectMeshes	Callback for collecting custom scene meshes. \n\nThis callback will be called once when scanning the graph, to allow you to add custom meshes to the graph, and once every time a graph update happens. Use the RecastMeshGatherer class to add meshes that are to be rasterized.\n\n[more in online documentation]\n<b>[code in online documentation]</b>
Pathfinding.RecastGraph.CollectionSettings.physicsScene	collectionsettings.html#physicsScene	The physics scene for collecting colliders when scanning the graph. \n\nIf null (the default), the physics scene that the AstarPath component is part of will be used.\n\nYou typically don't have to set this, but it can be useful in some rare situations.\n\n[more in online documentation]\nOnly used if rasterizeColliders is enabled.\n\n[more in online documentation]
Pathfinding.RecastGraph.CollectionSettings.physicsScene2D	collectionsettings.html#physicsScene2D	The physics scene for collecting 2D colliders when scanning the graph. \n\nIf null (the default), the physics scene that the AstarPath component is part of will be used.\n\nYou typically don't have to set this, but it can be useful in some rare situations.\n\n[more in online documentation]\nOnly used if rasterizeColliders is enabled.\n\n[more in online documentation]
Pathfinding.RecastGraph.CollectionSettings.rasterizeColliders	collectionsettings.html#rasterizeColliders	Use colliders to calculate the navmesh. \n\nDepending on the dimensionMode, either 3D or 2D colliders will be rasterized.\n\nSphere/Capsule/Circle colliders will be approximated using polygons, with the precision specified in colliderRasterizeDetail.\n\n[more in online documentation]
Pathfinding.RecastGraph.CollectionSettings.rasterizeMeshes	collectionsettings.html#rasterizeMeshes	Use scene meshes to calculate the navmesh. \n\nThis can get you higher precision than colliders, since colliders are typically very simplified versions of the mesh. However, it is often slower to scan, and graph updates can be particularly slow.\n\nThe reason that graph updates are slower is that there's no efficient way to find all meshes that intersect a given tile, so the graph has to iterate over all meshes in the scene just to find the ones relevant for the tiles that you want to update. Colliders, on the other hand, can be efficiently queried using the physics system.\n\nYou can disable this and attach a RecastNavmeshModifier component (with dynamic=false) to all meshes that you want to be included in the navmesh instead. That way they will be able to be efficiently queried for, without having to iterate through all meshes in the scene.\n\nIn 2D mode, this setting has no effect.
Pathfinding.RecastGraph.CollectionSettings.rasterizeTerrain	collectionsettings.html#rasterizeTerrain	Use terrains to calculate the navmesh. \n\nIn 2D mode, this setting has no effect.
Pathfinding.RecastGraph.CollectionSettings.rasterizeTrees	collectionsettings.html#rasterizeTrees	Rasterize tree colliders on terrains. \n\nIf the tree prefab has a collider, that collider will be rasterized. Otherwise a simple box collider will be used and the script will try to adjust it to the tree's scale, it might not do a very good job though so an attached collider is preferable.\n\n[more in online documentation]\nIn 2D mode, this setting has no effect.\n\n[more in online documentation]
Pathfinding.RecastGraph.CollectionSettings.tagMask	collectionsettings.html#tagMask	Objects tagged with any of these tags will be rasterized. \n\nWill only be used if collectionMode is set to Tags.\n\n[more in online documentation]
Pathfinding.RecastGraph.CollectionSettings.terrainHeightmapDownsamplingFactor	collectionsettings.html#terrainHeightmapDownsamplingFactor	Controls how much to downsample the terrain's heightmap before generating the input mesh used for rasterization. \n\nA higher value is faster to scan but less accurate.
Pathfinding.RecastGraph.DimensionMode	recastgraph.html#DimensionMode	Whether to use 3D or 2D mode.
Pathfinding.RecastGraph.MaxTileConnectionEdgeDistance	recastgraph.html#MaxTileConnectionEdgeDistance	Maximum (vertical) distance between the sides of two nodes for them to be connected across a tile edge. \n\nWhen tiles are connected to each other, the nodes sometimes do not line up perfectly so some allowance must be made to allow tiles that do not match exactly to be connected with each other.
Pathfinding.RecastGraph.NavmeshCuttingCharacterRadius	recastgraph.html#NavmeshCuttingCharacterRadius	
Pathfinding.RecastGraph.PerLayerModification.Default	perlayermodification.html#Default	
Pathfinding.RecastGraph.PerLayerModification.layer	perlayermodification.html#layer	Unity layer that this modification applies to.
Pathfinding.RecastGraph.PerLayerModification.mode	perlayermodification.html#mode	Surface rasterization mode. \n\n[more in online documentation]
Pathfinding.RecastGraph.PerLayerModification.surfaceID	perlayermodification.html#surfaceID	Voxel area for mesh. \n\nThis area (not to be confused with pathfinding areas, this is only used when rasterizing meshes for the recast graph) field can be used to explicitly insert edges in the navmesh geometry or to make some parts of the mesh unwalkable.\n\nWhen rasterizing the world and two objects with different surface id values are adjacent to each other, a split in the navmesh geometry will be added between them, characters will still be able to walk between them, but this can be useful when working with navmesh updates.\n\nNavmesh updates which recalculate a whole tile (updatePhysics=True) are very slow So if there are special places which you know are going to be updated quite often, for example at a door opening (opened/closed door) you can use surface IDs to create splits on the navmesh for easier updating using normal graph updates (updatePhysics=False). See the below video for more information.\n\n  <b>[video in online documentation]</b>\n\nWhen mode is set to Mode.WalkableSurfaceWithTag then this value will be interpreted as a pathfinding tag. See Working with tags.\n\n[more in online documentation]
Pathfinding.RecastGraph.RecalculateNormals	recastgraph.html#RecalculateNormals	Determines how normals are calculated. \n\nDisable for spherical graphs or other complicated surfaces that allow the agents to e.g walk on walls or ceilings.\n\nBy default the normals of the mesh will be flipped so that they point as much as possible in the upwards direction. The normals are important when connecting adjacent nodes. Two adjacent nodes will only be connected if they are oriented the same way. This is particularly important if you have a navmesh on the walls or even on the ceiling of a room. Or if you are trying to make a spherical navmesh. If you do one of those things then you should set disable this setting and make sure the normals in your source mesh are properly set.\n\nIf you for example take a look at the image below. In the upper case then the nodes on the bottom half of the mesh haven't been connected with the nodes on the upper half because the normals on the lower half will have been modified to point inwards (as that is the direction that makes them face upwards the most) while the normals on the upper half point outwards. This causes the nodes to not connect properly along the seam. When this option is set to false instead the nodes are connected properly as in the original mesh all normals point outwards.  <b>[image in online documentation]</b>\n\nThe default value of this field is true to reduce the risk for errors in the common case. If a mesh is supplied that has all normals pointing downwards and this option is false, then some methods like PointOnNavmesh will not work correctly as they assume that the normals point upwards. For a more complicated surface like a spherical graph those methods make no sense anyway as there is no clear definition of what it means to be "inside" a triangle when there is no clear up direction.
Pathfinding.RecastGraph.RecastGraphScanPromise.Progress	recastgraphscanpromise.html#Progress	Returns the progress of the update. \n\nThis should be a value between 0 and 1.
Pathfinding.RecastGraph.RecastGraphScanPromise.cutSettings	recastgraphscanpromise.html#cutSettings	
Pathfinding.RecastGraph.RecastGraphScanPromise.emptyGraph	recastgraphscanpromise.html#emptyGraph	
Pathfinding.RecastGraph.RecastGraphScanPromise.graph	recastgraphscanpromise.html#graph	
Pathfinding.RecastGraph.RecastGraphScanPromise.meshesUnreadableAtRuntime	recastgraphscanpromise.html#meshesUnreadableAtRuntime	
Pathfinding.RecastGraph.RecastGraphScanPromise.progressSource	recastgraphscanpromise.html#progressSource	
Pathfinding.RecastGraph.RecastGraphScanPromise.tileLayout	recastgraphscanpromise.html#tileLayout	
Pathfinding.RecastGraph.RecastGraphScanPromise.tiles	recastgraphscanpromise.html#tiles	
Pathfinding.RecastGraph.RecastGraphUpdatePromise.graph	recastgraphupdatepromise.html#graph	
Pathfinding.RecastGraph.RecastGraphUpdatePromise.graphHash	recastgraphupdatepromise.html#graphHash	
Pathfinding.RecastGraph.RecastGraphUpdatePromise.graphUpdates	recastgraphupdatepromise.html#graphUpdates	
